rid,tpl,pta,ptd,wta,wtp,wtd,arr_et,arr_wet,arr_atRemoved,pass_et,pass_wet,pass_atRemoved,dep_et,dep_wet,dep_atRemoved,arr_at,pass_at,dep_at,cr_code,lr_code
202004017037405,LIVST,,06:30,,,06:30,,,,,,,,,false,,,06:29,,
202004017037405,BTHNLGR,,,,06:33,,,,,,,false,,,,,06:32,,,
202004017037405,BOWJ,,,,06:35,,,,,,,false,,,,,06:34,,,
202004017037405,STFD,,06:38,06:37:30,,06:38:30,,06:36,false,,,,,,false,,,06:38,,
202004017037405,MRYLAND,,,,06:40,,,,,,,false,,,,,06:39,,,
202004017037405,FRSTGTJ,,,,06:41,,,,,,,false,,,,,06:41,,,
202004017037405,MANRPK,,,,06:41:30,,,,,06:41,,false,,,,,,,,
202004017037405,ILFORD,,,,06:42:30,,,,,,,false,,,,,06:42,,,
202004017037405,SVNKNGS,,,,06:43,,,,,,,false,,,,,06:43,,,
202004017037405,GODMAYS,,,,06:43:30,,,,,,,false,,,,,06:43,,,
202004017037405,CHDWLHT,,,,06:44,,,,,,,false,,,,,06:44,,,
202004017037405,GIDEAPK,,,,06:47,,,,,,,false,,,,,06:46,,,
202004017037405,ROMFORD,,,,06:46,,,,,,,false,,,,,06:46,,,
202004017037405,HRLDWOD,,,,06:48,,,,,,,false,,,,,06:48,,,
202004017037405,BRTWOOD,,,,06:51,,,,,,,false,,,,,06:50,,,
202004017037405,SHENFLD,,,,06:53:30,,,,,,,false,,,,,06:51,,,
202004017037405,CHLMSFD,07:02,07:03,07:02,,07:03,,,false,,,,,,false,06:58,,07:02,,
202004017037405,WITHAME,,,,07:11,,,,,,,false,,,,,07:09,,,
202004017037405,MRKSTEY,,,,07:16,,,,,,,false,,,,,07:14,,,
202004017037405,CLCHSTR,07:22,07:23,07:21:30,,07:23:30,,,false,,,,,,false,07:18,,07:22,,
202004017037405,MANNGTR,07:31,07:32,07:31,,07:32,,,false,,,,,,false,07:29,,07:32,,
202004017037405,IPSWHJN,,,,07:40,,,,,,,false,,,,,07:38,,,
202004017037405,IPSWICH,07:42,07:44,07:42,,07:44,,,false,,,,,,false,07:40,,07:43,,
202004017037405,IPSWESJ,,,,07:45:30,,,,,,,false,,,,,07:45,,,
202004017037405,IPSWEPJ,,,,07:46:30,,,,,07:46,,false,,,,,,,,
202004017037405,STWMRKT,07:54,07:55,07:54,,07:55:30,,,false,,,,,,false,07:53,,07:54,,
202004017037405,HAGHLYJ,,,,07:58:30,,,,,,,false,,,,,07:57,,,
